Category: All categories

Month,André 3000: (United States)
2004-01,0
2004-02,84
2004-03,0
2004-04,81
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,68
2004-11,0
2004-12,0
2005-01,0
2005-02,59
2005-03,0
2005-04,0
2005-05,100
2005-06,52
2005-07,52
2005-08,73
2005-09,45
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,38
2006-03,0
2006-04,0
2006-05,33
2006-06,35
2006-07,34
2006-08,32
2006-09,0
2006-10,0
2006-11,28
2006-12,0
2007-01,25
2007-02,0
2007-03,0
2007-04,0
2007-05,22
2007-06,0
2007-07,22
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,17
2008-02,18
2008-03,0
2008-04,17
2008-05,35
2008-06,19
2008-07,17
2008-08,70
2008-09,16
2008-10,43
2008-11,0
2008-12,16
2009-01,15
2009-02,32
2009-03,14
2009-04,15
2009-05,15
2009-06,15
2009-07,15
2009-08,22
2009-09,14
2009-10,0
2009-11,14
2009-12,0
2010-01,19
2010-02,13
2010-03,0
2010-04,12
2010-05,13
2010-06,27
2010-07,17
2010-08,11
2010-09,0
2010-10,10
2010-11,0
2010-12,0
2011-01,14
2011-02,13
2011-03,13
2011-04,8
2011-05,12
2011-06,8
2011-07,13
2011-08,12
2011-09,30
2011-10,21
2011-11,19
2011-12,49
2012-01,27
2012-02,34
2012-03,33
2012-04,22
2012-05,16
2012-06,19
2012-07,6
2012-08,28
2012-09,28
2012-10,11
2012-11,21
2012-12,9
2013-01,17
2013-02,11
2013-03,10
2013-04,34
2013-05,34
2013-06,14
2013-07,16
2013-08,8
2013-09,10
2013-10,15
2013-11,7
2013-12,13
2014-01,8
2014-02,10
2014-03,22
2014-04,12
2014-05,28
2014-06,18
2014-07,11
2014-08,13
2014-09,11
2014-10,7
2014-11,25
2014-12,7
2015-01,10
2015-02,5
2015-03,16
2015-04,11
2015-05,5
2015-06,6
2015-07,11
2015-08,20
2015-09,5
2015-10,13
2015-11,13
2015-12,17
2016-01,8
2016-02,24
2016-03,19
2016-04,38
2016-05,24
2016-06,13
2016-07,18
2016-08,28
2016-09,20
2016-10,35
2016-11,43
2016-12,19
2017-01,33
2017-02,22
2017-03,27
2017-04,16
2017-05,17
2017-06,21
2017-07,26
2017-08,37
2017-09,34
2017-10,29
2017-11,61
2017-12,28
2018-01,26
2018-02,18
2018-03,19
2018-04,28
2018-05,44
2018-06,17
2018-07,24
2018-08,19
2018-09,18
2018-10,11
2018-11,21
2018-12,23
2019-01,20
2019-02,40
2019-03,29
2019-04,23
2019-05,20
2019-06,38
2019-07,24
2019-08,24
2019-09,24
